AgeGrp,Sex,Genotype,Diet,Line,Weight_mean,Weight_sd,Age.Tested.Days_mean,Age.Tested.Days_sd,Age.Tested.Months_mean,Age.Tested.Months_sd,sample.n
4,Female,5XFAD,45% HFD,B6xBXD28,21.291249999999998,1.0881102557054718,96.5,3.7416573867739413,3.165,0.12294017127971521,8
4,Female,5XFAD,45% HFD,B6xBXD38,22.043333333333333,0.9905722251978066,99.33333333333333,1.1547005383792515,3.2566666666666664,0.04041451884327371,3
4,Female,5XFAD,45% HFD,B6xBXD39,22.176,1.2396289767507058,95.8,3.8340579025361627,3.142,0.1259761882261882,5
4,Female,5XFAD,45% HFD,B6xBXD50,18.513333333333332,0.33231511150312393,102.33333333333333,4.041451884327381,3.3566666666666665,0.1327905619136139,3
4,Female,5XFAD,45% HFD,B6xBXD55,21.64142857142857,1.2747735559885205,95,3.415650255319866,3.1157142857142857,0.11222850838908131,7
4,Female,5XFAD,45% HFD,B6xBXD60,26.56,NA,100,NA,3.28,NA,1
4,Female,5XFAD,45% HFD,B6xBXD61,24.43,NA,93,NA,3.05,NA,1
4,Female,5XFAD,45% HFD,B6xBXD62,21.29,0.3818376618407351,93,0,3.05,0,2
4,Female,5XFAD,45% HFD,B6xBXD65,23.352,1.9658891118270119,95.2,2.6832815729997477,3.12,0.08944271909999148,5
4,Female,5XFAD,45% HFD,B6xBXD66,20.268,1.3998821378959008,98.6,3.1304951684997055,3.234,0.10285912696499032,5
4,Female,5XFAD,45% HFD,B6xBXD68,20.48,NA,93,NA,3.05,NA,1
4,Female,5XFAD,45% HFD,B6xBXD73,19.086,1.0508234866046726,93.2,0.44721359549995793,3.056,0.01341640786499885,5
4,Female,5XFAD,45% HFD,B6xBXD74,22.241666666666667,2.0685494112219476,96.16666666666667,3.5449494589721118,3.1533333333333333,0.11604596790352807,6
4,Female,5XFAD,45% HFD,B6xBXD75,24.625,5.732948630504202,110.5,20.207259421636902,3.625,0.6639528095680699,4
4,Female,5XFAD,45% HFD,B6xBXD77,25.642,1.7950403895177405,94,0,3.08,0,5
4,Female,5XFAD,45% HFD,B6xBXD83,21.701428571428572,0.8794587079832795,99,7.483314773547883,3.247142857142857,0.24588034255943042,7
4,Female,5XFAD,45% HFD,B6xBXD87,18.0425,1.0511065597740317,94,0,3.08,0,4
4,Female,5XFAD,45% HFD,B6xBXD99,23.27875,3.247761591795626,94.75,3.24037034920393,3.1075,0.1064693114738434,8
4,Female,5XFAD,45% HFD,B6xD2,20.45,1.03237590053236,93,0,3.05,0,2
4,Female,5XFAD,45% HFD,B6xD2Gpnmb,21.4,NA,107,NA,3.51,NA,1
4,Female,5XFAD,6% Extruded,B6,22.54,NA,93,NA,3.05,NA,1
4,Female,5XFAD,6% Extruded,B6xBXD100,23.16,3.9880822458921283,99,0,3.25,0,2
4,Female,5XFAD,6% Extruded,B6xBXD113,21.4575,0.08732124598286455,94.75,3.5,3.1075,0.11499999999999999,4
4,Female,5XFAD,6% Extruded,B6xBXD12,19.95888888888889,0.8533382161318631,96.88888888888889,3.6893239368631092,3.1777777777777776,0.12122064363978786,9
4,Female,5XFAD,6% Extruded,B6xBXD124,23.33,2.4931506171910276,109,8.215838362577491,3.574,0.2683840531775315,5
4,Female,5XFAD,6% Extruded,B6xBXD125,19.1625,0.6847079669464937,98.25,3.5,3.2224999999999997,0.11499999999999999,4
4,Female,5XFAD,6% Extruded,B6xBXD152,21.310000000000002,0.2828427124746205,98,0,3.21,0,2
4,Female,5XFAD,6% Extruded,B6xBXD154,17.225,1.0571187255932994,100.5,0.5773502691896257,3.295,0.017320508075688915,4
